tier	slug	slot	target_path	url
itch	apocalypse-world	g1	images/systems/apocalypse-world-g1.jpg	https://img.itch.zone/aW1nLzI2Njk0NDIuanBn/original/IGjp5b.jpg
HIGH	call-of-cthulhu	g2	images/systems/call-of-cthulhu-g2.jpg	https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ92RstGeZr_fhYgkNO2aiZjI6j4p-kjq6okQ&s
itch	fist	hero	images/systems/fist-hero.png	https://img.itch.zone/aW1nLzMxMjI4NzUucG5n/original/zku5yb.png
itch	fist	g0	images/systems/fist-g0.png	https://img.itch.zone/aW1nLzMxMjI4NzUucG5n/original/zku5yb.png
itch	heart	g3	images/systems/heart-g3.png	https://img.itch.zone/aW1nLzMyNTE2MzgucG5n/original/2W%2BgAK.png
itch	ironsworn	hero	images/systems/ironsworn-hero.jpg	https://img.itch.zone/aW1nLzE3OTgwODguanBn/original/gRDqF5.jpg
itch	ironsworn	g0	images/systems/ironsworn-g0.png	https://img.itch.zone/aW1hZ2UvMzU5NzA3LzE3OTgxMTQucG5n/347x500/4T0Q8w.png
itch	ironsworn	g1	images/systems/ironsworn-g1.png	https://img.itch.zone/aW1hZ2UvMzU5NzA3LzE3OTgxMTUucG5n/347x500/e4qPTQ.png
itch	ironsworn	g2	images/systems/ironsworn-g2.png	https://img.itch.zone/aW1hZ2UvMzU5NzA3LzE3OTgxMTIucG5n/347x500/A9moFn.png
itch	ker-nethalas	hero	images/systems/ker-nethalas-hero.png	https://img.itch.zone/aW1nLzE0OTUyOTYzLnBuZw==/original/SuUuIM.png
itch	ker-nethalas	g0	images/systems/ker-nethalas-g0.jpg	https://img.itch.zone/aW1hZ2UvMjUxNTI2MS8yNjA3NzA4MC5qcGc=/347x500/c4RF8Y.jpg
itch	ker-nethalas	g1	images/systems/ker-nethalas-g1.jpg	https://img.itch.zone/aW1hZ2UvMjUxNTI2MS8xNDk1MjkyOS5qcGc=/347x500/%2F3tKpz.jpg
